Year,Branch No.,TFWS,LSCO,LSCH,LOPENO,LOPENH,LOBCO,LOBCH,GVJO,GVJH,GSTO,GSTH,GSCO,GSCH,GOPENO,GOPENH,GOBCO,GOBCH,GNT3O,GNT3H,GNT2O,GNT2H,GNT1O,GNT1H,DEFS
2013,533024510,40146,105384,125457,40794,66005,103414,85311,70256,125457,75274,120439,94626,120439,50183,79951,61854,69703,83671,106859,65237,85311,70256,130475,60219
2014,533024510,50969,133795,159280,51338,55547,76995,72391,89196,159280,95568,152908,71992,152908,63712,67585,74513,82092,72013,70017,82825,108310,89196,165651,76454
2015,533024510,40880,107310,127750,44957,52698,94170,85455,71540,127750,76650,122640,66097,122640,51100,82394,73797,96477,76650,81760,90671,86870,71540,132860,61320
2016,533024510,38168,94357,112330,40456,68892,62727,71823,62904,112330,67398,107836,57904,87698,44932,69633,47928,81721,67398,71891,58411,76384,62904,116823,36841
2017,533024510,28703,49259,58642,13451,58376,40874,61041,32839,58642,77321,56296,37531,56296,23457,55981,30704,69210,35185,71642,30494,39876,32839,60988,48348
2018,533024510,19508,64480,88927,36425,51996,42722,50149,42987,76762,46057,83489,61180,73692,30705,57918,45845,62864,85983,49128,39916,52198,97851,84238,54473
2013,533024610,76624,201138,239450,66245,87509,114936,162826,134092,239450,143670,229872,153248,229872,95780,114936,105358,162826,143670,153248,124514,162826,134092,249028,114936
2014,533024610,59793,156958,186855,82216,63461,89690,127061,104638,186855,112113,179380,119587,179380,74742,78095,82216,127061,112113,119587,97164,127061,104638,194329,89690
2015,533024610,62504,164075,195327,85944,85944,93757,132822,109383,195327,117196,187514,125009,187514,78131,91836,96957,132822,117196,125009,101570,132822,109383,203140,93757
2016,533024610,29919,118454,141017,57830,94208,71692,95891,78969,141017,84610,135376,64497,135376,56407,95633,64122,95891,84610,90251,66118,95891,78969,146658,67688
2017,533024610,48786,115090,137012,48783,73087,65766,76845,76727,137012,82207,131532,87688,131532,54805,75533,62522,101728,98648,87688,71246,93168,76727,142493,35590
2018,533024610,45353,121974,145207,71123,66183,86849,84818,81316,145207,87124,139399,71437,139399,58083,75251,86667,89404,87124,77616,75507,98741,81316,151015,69699
2013,533037210,42270,110959,132095,78515,30036,63405,89824,73973,132095,79257,126811,84540,126811,52838,66444,58121,89824,79257,84540,68689,89824,73973,137378,63405
2014,533037210,47277,124103,147742,65006,70094,70916,100464,82735,147742,88645,141832,94555,141832,59097,65873,65006,100464,88645,94555,76826,100464,82735,153652,70916
2015,533037210,60993,160107,190603,83651,86409,91489,129610,106738,190603,114362,182979,121986,182979,76241,88829,83865,129610,114362,121986,99113,129610,106738,198227,91489
2016,533037210,74708,196110,233465,102724,102724,112063,158756,130740,233465,140079,224126,149417,224126,93386,94692,102724,158756,140079,149417,121401,158756,130740,242803,112063
2017,533037210,50248,99716,118710,78734,95045,56980,80722,66477,118710,71226,113961,75974,113961,47484,105480,101802,80722,71226,75974,61729,80722,66477,123458,56980
2018,533037210,67056,176024,209552,92203,77178,100585,142495,117349,209552,125731,201170,134113,201170,83821,100585,92203,142495,125731,134113,108967,142495,117349,217934,100585
2013,533061210,21318,39259,80131,63984,56589,106901,44768,37307,66620,97327,83104,38889,68508,26648,33680,29040,43417,39972,59911,34642,45301,37307,69284,31977
2014,533061210,18191,61844,56847,25012,58199,43038,58788,31834,56847,34108,87549,59081,85975,22739,36446,32201,51870,34108,36382,45061,79662,88843,59121,27286
2015,533061210,12956,45201,97378,17814,88421,30139,90975,22673,40487,24292,59428,43533,89144,16195,42115,26908,60496,24292,54449,21053,27531,22673,42107,19434
2016,533061210,15204,90577,107830,85430,47445,51758,73324,60384,107830,64698,103516,44319,96342,43132,77664,51703,91438,64698,69011,56071,73324,66258,112143,50108
2017,533061210,34095,66036,78615,34590,71233,37735,53458,44024,78615,47169,84990,50313,75470,31446,33266,38874,71358,47169,50313,40879,53458,44024,81759,37735
2018,533061210,43700,104945,124935,54971,26161,59968,84955,61208,124935,74961,119937,58638,119937,49974,81907,70568,84955,74961,79958,61520,84955,69963,129932,59968
2013,541819110,70443,184913,220135,72355,72304,105664,149691,123275,220135,132081,211329,140886,211329,88054,86448,96859,149691,132081,140886,114470,149691,123275,228940,105664
2014,541819110,68075,178697,212735,90193,93603,102112,144659,119131,212735,127641,204225,136150,204225,85094,83968,91857,144659,127641,136150,110622,144659,119131,221244,102112
2015,541819110,55504,145700,93274,76319,75593,96294,96504,97133,173452,104071,91463,82282,88713,69381,83514,94562,94275,104071,95062,76872,117947,97133,180390,83257
2016,541819110,32352,82060,171730,74100,84119,82430,95868,96168,171730,101254,96286,86055,89714,68692,88979,79506,96628,103038,90393,77639,116776,87094,178599,78490
2017,541819110,55171,137434,163612,94685,83036,105305,92666,91623,163612,94854,96809,69741,102003,65445,77261,78242,86280,98167,80358,83520,90916,72802,170157,78534
2018,541819110,51606,120600,143572,74525,62817,68914,98545,80400,143572,86143,137829,92738,137829,57429,88349,75412,98367,86143,89541,89999,97629,89144,95803,68914
2013,541829310,63042,165486,197007,86683,55154,103261,133965,110324,197007,118204,189127,126084,189127,78803,94563,101783,133965,118204,126084,102443,133965,110324,204887,94563
2014,541829310,73079,191832,228372,100483,100483,109618,155293,127888,228372,137023,219237,146158,219237,91349,109618,100483,155293,137023,146158,118753,155293,127888,237507,109618
