Code,Name,Branch No.,Branch Name,TFWS,LSCO,LSCH,LOPENO,LOPENH,LOBCO,LOBCH,GVJO,GVJH,GSTO,GSTH,GSCO,GSCH,GOPENO,GOPENH,GOBCO,GOBCH,GNT3O,GNT3H,GNT2O,GNT2H,GNT1O,GNT1H,DEFS,Year
5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik",533024510,Computer Engineering,14973,68932,95708,37059,59979,44787,49940,45955,82062,73839,89976,57588,75183,32825,62756,47943,71481,60960,67257,44263,55802,56905,90662,54870,2019
5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik",533024610, Information Technology,47742,122803,146194,69710,79605,81482,83882,81869,146194,87716,140347,79437,140347,58478,85436,78503,93748,93594,78566,76079,99412,81869,152042,67411,2019
5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik",533037210,Electronics and Telecommunication Engg,60354,137060,163167,84009,86382,78319,110953,91373,163167,97900,156640,104426,156640,65266,102438,95084,110953,97900,104426,84846,110953,91373,169693,78319,2019
5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik",533061210,Mechanical Engineering,50412,70925,85236,39245,91781,43996,70438,43829,84113,43762,72767,46188,68920,33645,33921,50400,80635,50467,46630,32371,38898,42957,87477,41454,2019
5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik",541819110,Civil Engineering,51467,125320,159681,86624,95040,111698,96840,76792,137130,81989,124526,89082,123995,54852,80721,74912,96393,82278,87215,86751,95456,86753,42129,66182,2019
5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik",541829310,Electrical Engineering,45790,133903,159409,76784,87228,87712,108398,93018,159409,95645,143710,105797,152902,63763,107621,84030,115470,97871,102021,82892,108398,90574,165785,69668,2019
5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik",541861210,Mechanical Engineering,40629,129490,167999,76322,78169,87187,116842,89286,149342,92360,105246,117316,97601,67200,68671,72242,88456,83616,91979,89276,115189,94079,108529,71938,2019
6139,"Progressive Education Society's Modern College of Engineering, Pune ",613924510,Computer Engineering,10298,27569,33760,8258,11921,15508,12061,33621,40028,35399,48532,20562,45056,7889,6197,10948,15314,25372,39122,21639,28099,19281,38815,15277,2019
6139,"Progressive Education Society's Modern College of Engineering, Pune ",613924520,Computer Engineering [Second Shift],8214,21564,60786,15556,9799,28058,33124,31331,54989,15403,32976,44739,53762,10268,7775,16696,27224,30337,30378,13349,28091,19437,19265,18249,2019
6139,"Progressive Education Society's Modern College of Engineering, Pune ",613924610, Information Technology,12537,35576,65896,14080,12658,7595,23148,61523,39228,19553,54500,35518,46715,13035,9284,15479,17196,19553,34513,39378,31032,18248,28637,39361,2019
