College Id,College Name,college website,Naac score
6177," Sinhgad College of Engineering, Vadgaon (BK), Pune",http://cms.sinhgad.edu/sinhgad_engineering_institutes/vadgaon_scoe/about.aspx,A
6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",http://cms.sinhgad.edu/sinhgad_engineering_institutes/skncoe_vadgaon/institute_details.aspx,B+
6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",http://cms.sinhgad.edu/sinhgad_engineering_institutes/sits_narhetechnicalcampus/sits_nt_aboutus.aspx,B
6187,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune",http://cms.sinhgad.edu/sinhgad_engineering_institutes/saoe/about_us.aspx,A
6769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune",http://cms.sinhgad.edu/sinhgad_engineering_institutes/rmd_ssoe/about_us.aspx,A
6770," SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune",http://cms.sinhgad.edu/sinhgad_engineering_institutes/sknsits_lonavala/about_us.aspx,A
6772," NBN Sinhgad Technical Institutes Campus, Pune","http://cms.sinhgad.edu/sinhgad_engineering_institutes/nbn-ssoe,-ambegaon-(bk)/faqs.aspx",B++
6185,"Sinhagad Institute of Technology, Lonavala",http://cms.sinhgad.edu/sinhgad_engineering_institutes/sit_lonavala/about_institute.aspx,B++
6207," Dr. D. Y. Patil Vidya Pratishthan Society Dr .D. Y. Patil Institute of Engineering & Technology, Pimpri,Pune",http://engg.dypvp.edu.in/,A
6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune ",https://www.dypcoeakurdi.ac.in/,A
6732,"Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune",http://www.dypic.in/school-of-engineering.htm,B+
6786,"Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon, Pune",http://www.dypic.in/school-of-engineering-and-technology.htm,N/A
6787,"Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy, Ambi",http://www.dypsoeambi.com/,N/A
6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune ",http://aissmscoe.com/,A+
6274,"Pune Vidyarthi Griha's College of Engineering and Technology, Pune",https://www.pvgcoet.ac.in/,A
6808,"Keystone School of Engineering, Pune ",http://www.keystoneschoolofengineering.com/,N/A
6284,"Vidya Pratishthan's College of Engineering, Baramati Dist.Pune",http://www.vpkbiet.org/,A
6271,"Pune Institute of Computer Technology, Dhankavdi, Pune",https://pict.edu/,B+
6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",https://www.jspmjscoe.edu.in/,B+
6160,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",https://www.jspmicoer.edu.in/,A
6755,"JSPM Narhe Technical Campus, Pune",https://jspmntc.edu.in/,N/A
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",http://www.pccoepune.com/,A
6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",http://www.nmiet.edu.in/,N/A
6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune ",https://www.mmcoe.edu.in/,A
6307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli ",https://www.dpespune.com/,A+
6139,"Progressive Education Society's Modern College of Engineering, Pune ",http://www.mescoepune.org/,A
6281,"Modern Education Society's College of Engineering, Pune ",http://www.mescoepune.org/,N/A
6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli ",http://www.kjei.edu.in/tcoer/,B++
6634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",http://www.kjei.edu.in/tae/,A
5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik",https://www.ggsf.edu.in/,B+
5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik",https://www.pvgcoenashik.org/,B
