Year,Branch No.,TFWS,LSCO,LSCH,LOPENO,LOPENH,LOBCO,LOBCH,GVJO,GVJH,GSTO,GSTH,GSCO,GSCH,GOPENO,GOPENH,GOBCO,GOBCH,GNT3O,GNT3H,GNT2O,GNT2H,GNT1O,GNT1H,DEFS
2013,533024510,,,,40794,66005,103414,,,,,,94626,,50183,79951,61854,69703,83671,106859,,,,,
2013,533024610,,,,66245,87509,,,,,,,,,95780,,,,,,,,,,
2013,533037210,,,,78515,30036,,,,,,,,,52838,66444,,,,,,,,,
2013,533061210,,39259,80131,63984,56589,106901,44768,,,97327,83104,38889,68508,26648,33680,29040,43417,,59911,,,,,
2013,541819110,,,,72355,72304,,,,,,,,,88054,86448,,,,,,,,,
2013,541829310,,,,,55154,103261,,,,,,,,78803,,101783,,,,,,,,
2013,541861210,,,,56914,92839,69132,85102,51556,,101598,98091,76806,110071,35867,58299,,106297,57604,96283,,,,,
2013,613924510,,,33902,12394,9992,21133,19633,36030,,84470,71092,29848,43394,12651,13363,14963,19469,,,,,,48303,
2013,613924520,,,,,,,,,,,,,,16865,,,,,,,,,,
2013,613924610,,,32401,21502,22613,29221,43436,60982,83859,,107955,65650,83920,19225,22359,28206,41860,,69121,,65002,,77848,
2013,613924620,,,,22002,32330,34456,81125,,,,,69342,,26518,33244,28710,70978,,97749,41634,47376,,,
2013,613929310,,46878,96854,22767,22216,,28821,,53851,,110615,30279,69016,12411,21711,14797,31196,24019,,,,37536,58945,
2013,613929320,,,111171,,32865,,71429,,,,,35242,,22477,39697,24973,107584,,,,87352,,,
2013,613937210,,62886,63749,15776,22021,26830,46507,,,,,57551,86895,15620,23017,22193,54585,,62819,17366,54606,36244,101439,
2013,613961210,,,43275,20699,25193,37691,40578,,52673,85978,96182,26689,47040,7480,9978,9684,12941,,,13063,20277,,18824,
2013,613961220,,35475,62361,34496,31293,106838,61650,,76113,,,33413,59268,9142,12030,11290,13671,,23320,21653,24155,35979,,
2013,614524510,,85779,86309,36883,34271,72345,64821,,,,,89617,103792,45541,41487,63620,95769,76916,,99404,87669,,,
2013,614524610,,,,56800,57360,71358,108646,,,,,101735,102054,66213,70527,,81392,,,,100785,,,
2013,614529310,,,72374,72707,68358,79006,91262,,,87304,83152,54043,,32171,57998,37803,78524,,107290,,65417,,,
2013,614537210,,80062,102819,45078,57101,69279,82138,67012,,,,63989,,47239,75954,52444,62157,73242,107440,,,,,
2013,614561210,,43857,90887,86294,78745,23065,83546,,93787,102915,45875,42502,63932,18759,23263,22264,31386,,,22548,33455,48413,63247,
2013,614561220,,,76161,25480,86849,,38935,,,,,63524,88674,24012,29277,26873,54155,89438,58451,,,,97525,
2013,615624510,,61305,79600,22318,19181,41449,43568,54940,97077,,,79775,91371,25567,23002,42538,45308,53246,66903,,80589,,64177,
2013,615624610,,,101978,38993,26243,42847,41984,,,,,,,32976,35660,51682,58546,,,,57868,,,
2013,615629310,,,95223,57126,55566,60076,109293,56608,,100382,,58568,77654,36205,52361,42371,79226,,,87452,,,111812,
2013,615637210,,111740,109985,27936,25375,47122,109798,,,,,76171,86440,28345,39222,56790,96647,,63759,41583,54013,67979,77489,
2013,615661210,,51899,92986,36598,33705,44221,56308,40094,65019,61678,105277,34689,58795,12244,15213,15528,20713,,33786,,30294,,85035,
2013,615661220,,,111045,61673,47227,27322,27051,,,,,59780,71943,14996,18243,24179,26701,,51037,,68380,37951,,
2013,616019120,,,,,,,,,,,,,,54932,,,,,,,,,,
2013,616024510,,,66199,30504,34682,55340,62565,,,,,89646,95122,42618,43769,49178,66751,,,,66532,61316,92530,
2013,616037210,,69335,,53944,60771,,98750,80802,,,,60717,,47363,81830,47841,62891,,,,,,,
2013,616061210,,110119,66632,46410,71492,68356,110362,,61962,78536,110499,41287,60554,17275,25446,23546,34997,25730,32596,,28440,21347,78468,
2013,616061220,,,,62508,44195,34812,56229,,,,,64265,87642,34285,39550,34939,72249,,,,,,,
2013,617519110,,,80839,14661,24962,22968,41502,,,75014,77214,21355,49198,12472,15266,13886,19818,,30690,17313,,,,
2013,617524510,,52433,41010,15677,9492,20803,18358,,49306,105333,101367,37553,41676,15059,11232,21408,17636,33646,37578,,22663,35376,53389,
2013,617524520,,,47838,18329,13620,,19872,53735,76688,,,61759,63440,22782,15794,24090,23122,,,,29706,,76688,
2013,617524610,,,68613,22810,18510,24325,35411,,,,,49188,72429,21344,19789,27859,40183,,,52090,25507,,,
2013,617537210,,45690,34923,15745,12911,24152,24008,,,81455,101694,42373,46584,16578,16930,19607,30909,,59675,28579,35047,34233,43725,
2013,617537220,,86688,93180,24347,20792,30398,35059,,,,,44571,92398,22000,23027,26528,52364,,,,,,,
2013,617561210,,32145,40057,23876,9622,30331,18765,8636,29188,56415,40404,20187,30482,5497,5114,7355,9332,,17917,,18772,19904,19110,
2013,617561220,,49875,53894,27865,18505,36985,26866,,72607,62633,45123,23614,35910,6412,6750,7968,12856,,22092,,,,,
2013,617708210,,,30143,12964,23676,26479,38522,,54447,57050,67515,22863,67644,15412,28178,22822,58381,39991,,35877,35877,,,
2013,617719110,,34071,48956,11274,20350,16536,21661,12192,15594,40244,30731,12067,25788,5532,7682,7652,12587,6813,9772,10893,11057,,42893,
2013,617719120,,,66067,17035,23686,19806,28695,,,62780,73924,19945,56297,7643,11799,7798,12783,,,,20750,25254,44413,
2013,617724510,,16591,33048,7669,9745,9495,13683,,36491,50575,91940,21810,50437,5223,7837,7164,13062,,18706,14368,11303,,39804,
2013,617724610,,16941,59202,9266,15327,14352,29770,,60699,109414,,28043,81757,9233,16317,13864,33067,,23502,,38040,31837,71700,
2013,617737210,,21990,62521,8216,15348,10161,21852,25287,98168,29664,93670,22179,54701,6131,12728,7727,19827,,21165,7753,25089,17082,34921,
2013,617737220,,,77131,11912,17881,15532,38863,35856,,111550,,25076,93955,8767,15932,15932,35239,16636,30439,,,,,
2013,617750710,,29334,39118,11064,18943,18838,87688,,,53622,67422,25137,89877,11933,18194,14662,33819,,,,41448,,70608,
2013,617760610,,,76252,16525,36425,34960,,,,90445,,39691,61121,10447,13927,12663,,,44467,23949,,39887,,
2013,617761210,,26664,54068,10341,9420,16445,19743,3572,21989,28938,36777,9786,20436,3361,4286,4274,6124,3786,5176,5627,7082,7301,14806,
2013,617761220,,,25476,14516,20225,21703,26105,,,92496,98617,15178,28371,3660,5576,5031,8140,12483,,,11441,,23297,
2013,617824510,,49287,63097,12011,14786,19523,24369,32408,68263,94872,,26392,74085,10941,15509,12729,24843,,32594,18922,29286,37937,57776,
2013,617824520,,,76965,15163,18224,21062,27801,42970,106964,,,106964,98149,13041,18096,14019,33041,,,,,,,
2013,617824610,,46943,82640,19058,20478,25565,35791,71494,,,,51089,86877,17354,21364,23974,45544,,,27544,,,92629,
2013,617837210,,38729,92922,15211,22839,16340,45062,27430,,,,36115,107792,11788,23575,15557,52723,23011,51661,12183,35479,24410,62305,
2013,617837220,,38904,,17001,25652,,54409,,,,,42562,48085,13498,26927,21719,75817,,58683,,,,,
2013,617861210,,42123,88377,18090,16123,22851,28505,,34883,46100,65420,20860,29001,4554,6818,5496,8635,9338,15048,8468,12730,,23041,
2013,617861220,,,38127,24259,26460,24277,30197,28533,,111464,82161,22386,34648,5043,8029,,8818,,,10248,,,35618,
2013,618219110,,72907,93644,42450,46367,49097,62413,27730,31994,68222,65025,32520,96230,19874,25163,26477,34382,,36223,,25213,23739,67445,
2013,618224510,,62636,87099,21533,23605,,35861,,,,,59733,104048,20504,24341,34221,34338,,37291,,59698,,,
2013,618224520,,,,29965,33649,35209,39332,95684,,,,83942,,28401,35140,39365,57695,,,,,,,
2013,618224610,,,96944,26896,35866,33467,77308,,,,,69440,,30241,37464,40145,60304,,,48761,,,,
2013,618237210,,61905,73401,19325,39434,51249,71587,,95222,,,51164,,26462,44085,36619,74247,,83117,38587,73542,,,
2013,618261210,,65885,73757,45201,40487,72220,97360,41017,106178,82353,42017,30267,73442,13326,15453,14540,19528,25789,22227,15854,24562,34080,23066,
2013,618419110,,94395,,85372,81932,104168,,,,98221,,71698,110297,47731,46132,67520,80639,,,,67688,,,
2013,618424510,,90259,81443,56410,48804,,63694,,,,,65034,,58524,50106,,52363,,109212,,,,,
2013,618424610,,,,105351,70127,,,,,,,,,102048,96040,,,,,,,,,
2013,618429310,,102699,,94664,,,,,,,,92062,,64007,99372,,,,,,,,,
2013,618437210,,,65865,67946,51678,,63837,,,,,,,67950,59873,,101548,,66255,,64392,,105685,
2013,618461210,,67068,101509,81735,106631,40316,55367,,82666,107343,,71662,95818,34841,26467,47514,57017,64729,29279,44035,60855,,61714,
2013,618524510,,75995,66227,24494,43544,49339,59538,55608,,,,52665,109188,23077,43652,38280,92068,,70276,49204,56434,,,
2013,618524520,,,91537,33139,61517,39846,76238,,,,,65895,99504,37909,62785,69448,52532,,74575,,,44094,,
2013,618524610,,,84910,38441,51859,,109969,,,,,49564,91899,32350,58474,44417,49378,93033,93398,,77658,,,
2013,618529310,,81185,,27167,60137,30370,86678,47698,,,,35539,83467,19778,57294,22439,81048,39695,,30717,72780,54629,,
2013,618537210,,66485,66371,31337,80278,51687,94661,37091,69179,,,53294,67770,27077,78276,52092,90502,39541,52178,,55522,58271,105043,
