Code,Name,Branch No.,Branch Name,TFWS,LSCO,LSCH,LOPENO,LOPENH,LOBCO,LOBCH,GVJO,GVJH,GSTO,GSTH,GSCO,GSCH,GOPENO,GOPENH,GOBCO,GOBCH,GNT3O,GNT3H,GNT2O,GNT2H,GNT1O,GNT1H,DEFS,Year
5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik",533024510,Computer Engineering,10133,69575,67921,26079,42858,28769,39330,59674,17458,103661,62895,57826,131695,18804,49462,39409,52408,93422,44452,40004,50838,110810,70006,64186,2019
5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik",533024610, Information Technology,56786,163177,311118,72538,49801,91752,86059,146522,144637,294669,293784,86961,290548,58107,61757,93648,92947,123172,89098,100879,132754,152322,215697,74936,2019
5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik",533037210,Electronics and Telecommunication Engg,62578,199560,396348,98100,72328,91157,139335,179194,139250,344780,344161,146634,360632,65332,94969,99564,99686,145253,121837,119638,155365,193123,257083,106774,2019
5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik",533061210,Mechanical Engineering,59495,131626,260451,35583,29871,65742,96452,62318,130795,224897,208594,68553,236517,48359,68522,72580,62775,97367,87587,71360,107578,113574,176061,68939,2019
5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik",541819110,Civil Engineering,65630,160632,297713,81528,55355,79692,98370,140318,105876,193831,274367,89527,272822,52592,84233,73626,95497,112520,85912,96079,107100,85063,96580,79940,2019
5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik",541829310,Electrical Engineering,42202,197882,395456,92813,58186,93995,141538,179776,163639,336510,42349,142379,336619,68107,78257,87763,70702,148700,124496,120349,156980,195255,259094,54510,2019
5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik",541861210,Mechanical Engineering,53991,115494,202509,14923,111757,50495,74749,65796,59863,212925,168212,50221,78756,36185,69151,77671,92504,70971,105357,56626,80386,102133,129538,-21408,2019
6139,"Progressive Education Society's Modern College of Engineering, Pune ",613924510,Computer Engineering,6460,20547,43407,2825,6579,12674,7648,-14992,-999,42149,61987,12667,28918,4777,5072,5935,10884,-1014,12767,15895,20429,18388,23954,4600,2019
6139,"Progressive Education Society's Modern College of Engineering, Pune ",613924520,Computer Engineering [Second Shift],6503,25989,28852,10068,6702,19133,9975,38596,18128,53180,44118,24733,40736,6746,5855,7394,10029,17170,27261,15566,2769,19571,11436,12993,2019
6139,"Progressive Education Society's Modern College of Engineering, Pune ",613924610, Information Technology,9406,34207,46600,9044,10318,12137,20190,682,-10480,64808,75311,36261,48093,7757,7537,11651,15562,20774,37774,47651,17517,28558,36540,19513,2019
